<<<<<<< HEAD
Haitiano,1mwen2ou3nou4saa5ki6ki7kisa8pa9tout10anpil11youn12de13gwo14lontan15ti16fanm17anpil18moun19pwason20zwazo21chen22bouje23pyebwa24pititpitit25fèy26rasin27jape28po29vyann30san31zo32grès33ze34kòn35ke36plim37toutchevenantèt38tèt39zòrèy40je41nen42bouch43dan44lang45grif46pye47jenou48men49vant50kou51breats52kè53fwa54bwè55manje56mòde57pititpitit58kè59konnen60dòmi61mouri62touye63naje64vole65mache66vini67manti68chita69kanpe70bay71di72solèy73lalin74zetwal75dlo76lapli77wòch78sab79latè80nwaj81lafimen82dife83sann84boule85chemen86mòn87wouj88vèt89jòn90blan91nwa92lannwit93cho94frèt95plen96nouvo97bon98wonn99sèk100non,Western Europe,Romance,1
Georgiano,1me2t’k’ven3ch’ven4es5rom6vin7ra8ara9qvela10bevri11ert’i12ori13didi14khangrdzlivi15patara16k’ali17bevri18piri19t’evzi20p’rinveli21dzaghli22louse23khe24t’esli25p’ot’oli26root27k’erk’i28kani29khorts’i30siskhli31dzvali32zet’i33kverts’khi34rk’a35kudi36bumbuli37t’ma38khelmdzghvaneli39quri40t’vali41ts’khviri42piri43kbilis44ena45claw46p’ekhit’47mukhli48khelit’49muts’eli50kiseri51sunt’k’va52guli53ghvidzlshi54sasmeli55chama56bite57t’esli58guli59vits’i60dzili61ighupeba62mokvla63banaoba64p’rena65p’ekhit’66modi67tquili68ijdes69davdget’70mists’es71amboben72mze73mt’vare74varskvlavi75tsqali76tsvima77k’va78k’visha79dedamitsa80ghrubeli81motseva82ts’ets’khli83nats’ari84damtsvroba85gza86mt’is87tsit’eli88mtsvane89qvit’eli90t’et’ri91shavi92ghame93ts’kheli94ts’ivi95sruli96akhali97kargi98raundi99mshrali100sakheli,Eastern Europe,Kartvelian,0
Bengali,1?mi2?pani3?mar?4?'i5y?6k?7ki8n?9saba10an?ka11?ka12du'i13ba?a14d?rgha15ch??a16n?r?17an?ka18byakti19m?cha20p?khi21kukura22ukuna23g?cha24b?ja25g?ch?rap?t?26m?la27b?kala28c?ma??29m?nsa30rakta31h??a32carbil?g?n?33?ima34?i??35l?ja36p?laka37cula38m?th?39k?na40c?kha41n?ka42mukha43d?m?ta44jihb?45nakhara46p?47h?m??u48h?ta49p??a50gh??a51breats52hr?da?a53yakr?ta54p?nakar?55kh?'???56d?ntadi??phu??kar?57b?ja58hr?da?a59j?n?60ghuma61mar?62badha63santara?a64m?chi65padabraj?bhrama?a66?s?67mithy?68bas?69th?k?70dit?71bal?72s?rya73c?m?da74t?rak?75p?ni76br???i77p?thara78b?li79pr?thib?80m?gha81dh?m???82?guna83ch?'i84p???85patha86parbata87l?la88sabuja89haluda90s?d?91k?l?92r?ta93garama94?h?n??95samp?r?a96natuna97bh?la98br?tt?k?ra99?u?ka100n?ma,India,Indo-Aryan,1
Kannada,1n?nu2n?vu3n?vu4idu5adu6y?ru7?nu8alla9ell?10an?ka11ondu12era?u13do??adu14uddav?gide15sa??a16mahi?e17an?ka18vyakti19m?nu20hakki21n?yi22laus23mara24b?ja25ele26b?ru27toga?e28carma29m?nsa30rakta31m??e32gr?s33mo??e34kombu35b?la36gari37k?dalu38tale39kivi40ka??u41m?gu42b?yi43hallu44bh??e45pan?ja46p?da47mo?ak?lu48kai49ho??e50kuttige51usir??uvudu52hr?daya53yakr?ttu54p?n?ya55tinniri56kaccuvudu57b?ja58hr?daya59ti?idide60nidre61s?yu62kollu63?ju64h?ralu65na?eyiri66banni67su??u68ku?ituko??i69s?y???70n??i71h??u72s?rya73candra74nak?atra75n?ru76ma?e77kallu78mara?u79bh?mi80m??a81hoge82be?ki83b?di84barn85m?rga86parvata87kempu88hasiru89ha?adi90bi?i91kappu92r?tri93bisi94??ta95p?r?a96hosadu97o??eyadu98suttinalli99?u?ka100hesaru,India,Dravidian,1
=======
Lang,String,Region,Family,Consider
Inglés,1i2you3we4this5that6who7what8not9all10many11one12two13big14long15small16woman17many18person19fish20bird21dog22louse23tree24seed25leaf26root27bark28skin29flesh30blood31bone32grease33egg34horn35tail36feather37hair38head39ear40eye41nose42mouth43tooth44tongue45claw46foot47knee48hand49belly50neck51breats52heart53liver54drink55eat56bite57seed58heart59know60sleep61die62kill63swim64fly65walk66come67lie68sit69stand70give71say72sun73moon74star75water76rain77stone78sand79earth80cloud81smoke82fire83ash84burn85path86mountain87red88green89yellow90white91black92night93hot94cold95full96new97good98round99dry100name,Western Europe,Germanic,1
Portugues,1eu2você3nós4esta5que6quem7oque8não9tudo10muitos11um12dois13grande14longo15pequeno16mulher17muitos18pessoa19peixe20pássaro21cão22piolho23árvore24semente25folha26raiz27casca28pele29carne30sangue31osso32graxa33ovo34chifre35cauda36pena37cabelo38cabeça39orelha40olho41nariz42boca43dente44língua45garra46pé47joelho48mão49barriga50pescoço51breats52coração53fígado54bebida55comer56morder57semente58coração59saber60sono61morrer62matar63natação64voar65andar66vir67mentira68sentar69suporte70dar71dizer72sol73lua74estrela75água76chuva77pedra78areia79terra80nuvem81fumo82fogo83cinza84queimar85caminho86montanha87vermelho88verde89amarelo90branco91preto92noite93quente94frio95completo96novo97bom98redondo99limpeza100nome,Western Europe,Romance,1
Italiano,1io2voi3noi4questo5che6che7cosa8non9tutto10molti11uno12due13grande14lungo15piccolo16donna17molti18persona19pesce20uccello21cane22pidocchio23albero24seme25foglia26radice27corteccia28pelle29carne30sangue31osso32grasso33uovo34corno35coda36piuma37capelli38testa39orecchio40occhio41naso42bocca43dente44lingua45artiglio46piede47ginocchio48mano49pancia50collo51breats52cuore53fegato54bere55mangiare56morso57seme58cuore59sapere60sonno61morire62uccidere63nuotata64volare65camminare66venire67menzogna68sedersi69stareinpiedi70dare71dire72sole73luna74stella75acqua76pioggia77pietra78sabbia79terra80nuvola81fumo82fuoco83cenere84bruciare85sentiero86montagna87rosso88verde89giallo90bianco91nero92notte93caldo94freddo95pieno96nuovo97buono98tondo99pulizia100nome,Western Europe,Romance,1
Frances,1je2vous3nous4cette5que6qui7quelle8pas9tous10beaucoup11un12deux13grand14long15petit16femme17beaucoup18personne19poisson20oiseau21chien22pou23arbre24graine25feuille26racine27écorce28peau29chair30sang31os32graisse33œuf34corne35queue36plume37cheveux38tête39oreille40œil41nez42bouche43dent44langue45griffe46pied47genou48main49ventre50cou51breats52cœur53foie54boisson55manger56mordre57graine58cœur59savoir60sommeil61mourir62tuer63nager64voler65marcher66venir67mensonge68s'asseoir69setenirdebout70donner71dire72soleil73lune74star75eau76pluie77pierre78sable79terre80nuage81fumée82feu83cendre84brûler85chemin86montagne87rouge88vert89jaune90blanc91noir92nuit93chaud94froid95complet96nouveau97bon98rond99nettoyage100nom,Western Europe,Romance,1
Aleman,1ich2sie3wir4diese5dass6die7was8nicht9alle10viele11ein12zwei13groß14lang15klein16frau17viele18person19fisch20vogel21hund22laus23baum24samen25blatt26wurzel27rinde28haut29fleisch30blut31knochen32fett33ei34horn35schwanz36feder37haar38kopf39ohr40auge41nase42mund43zahn44zunge45klaue46fuß47knie48hand49bauch50hals51breats52herz53leber54getränk55essen56beißen57samen58herz59wissen60schlaf61sterben62töten63schwimmen64fliegen65gehen66kommen67lüge68sitzen69stehen70geben71sagen72sonne73mond74stern75wasser76regen77stein78sand79erde80wolke81rauch82feuer83asche84verbrennen85weg86berg87rot88grün89gelb90weiß91schwarz92nacht93heiß94kalt95voll96neu97gut98runde99reinigung100name,Western Europe,Germanic,1
Catalán,1jo2vostè3nosaltres4aquest5que6que7què8no9tots10molts11un12dos13gran14llarg15petit16dona17molts18persona19peix20ocell21gos22poll23arbre24llavor25full26arran27lladruc28pell29carn30sang31os32greix33ou34banya35cua36ploma37pèl38cap39orella40ull41nas42boca43dent44llengua45arpa46peu47genoll48mà49ventre50coll51breats52cor53fetge54beguda55menjar56mossegar57llavor58cor59saber60somni61morir62matar63nedar64volar65caminar66venir67mentida68seure69estardempeus70donar71dir72sol73lluna74estrella75aigua76pluja77pedra78sorra79terra80núvol81fum82foc83cendra84cremar85camí86muntanya87vermell88verd89groc90blanc91negre92nit93calenta94fred95complet96nou97bo98ronda99neteja100nom,Western Europe,Romance,1
Español,1yo2usted3nosotros4este5que6que7qué8no9todos10muchos11uno12dos13grande14largo15pequeño16mujer17muchos18persona19pescado20pájaro21perro22piojo23árbol24semilla25hoja26raíz27ladrido28piel29carne30sangre31hueso32grasa33huevo34cuerno35cola36pluma37pelo38cabeza39oreja40ojo41nariz42boca43diente44lengua45garra46pie47rodilla48mano49vientre50cuello51breats52corazón53hígado54bebida55comer56morder57semilla58corazón59saber60sueño61morir62matar63nadar64volar65caminar66venir67mentira68sentarse69estardepie70dar71decir72sol73luna74estrella75agua76lluvia77piedra78arena79tierra80nube81humo82fuego83ceniza84quemar85camino86montaña87rojo88verde89amarillo90blanco91negro92noche93caliente94frío95completo96nuevo97bueno98ronda99limpieza100nombre,Western Europe,Romance,1
Noruego,1jeg2du3vi4dette5det6som7hva8ikke9alt10mange11ett12to13stor14lenge15liten16kvinne17mange18person19fisk20fugl21hund22louse23treet24frø25blad26root27bark28hud29kjøtt30blod31bein32fett33egg34horn35hale36fjær37hår38hode39øre40øye41nese42munn43tann44tunge45klo46fot47kne48hånd49magen50hals51breats52hjerte53leveren54drikke55spise56bite57frø58hjerte59vet60søvn61dø62drepe63svømme64fly65gå66komme67løgn68sitte69stå70gi71si72sol73månen74stjerners75vann76regn77stein78sand79jorden80sky81røyk82brann83ask84brannsår85sti86fjellet87rød88grønn89gul90hvit91svart92natt93varm94forkjølelse95full96ny97god98runde99rengjøring100navn,Western Europe,Germanic,1
Polaco,1ja2ty3my4to5?e6kto7co8nie9wszystko10wiele11jeden12dwa13wielki14d?ugo15ma?y16kobieta17wiele18osoba19ryba20ptak21pies22wesz23drzewo24nasienie25li??26korze?27kora28skóra29cia?o30krew31ko??32smar33jajko34klakson35ogon36pióro37w?osy38g?owa39ucho40oko41nos42usta43z?b44j?zyk45pazur46stopa47kolano48r?ka49brzuch50szyja51breats52serce53w?troba54napój55je??56gry??57nasienie58serce59wiedzie?60sen61umiera?62zabi?63p?ywa?64lata?65spacer66przyj??67k?amstwo68siedzie?69sta?70da?71powiedzie?72s?o?ce73ksi??yc74gwiazda75woda76deszcz77kamie?78piasek79ziemia80chmura81dym82ogie?83popió?84spali?85?cie?ka86góra87czerwony88zielony89?ó?ty90bia?y91czarny92noc93gor?cy94zimno95pe?ny96nowy97dobry98okr?g?y99czyszczenie100nazwa,Eastern Europe,Slavic,1
Holandés,1ik2u3we4deze5dat6die7wat8niet9alle10veel11één12twee13groot14lang15small16vrouw17veel18persoon19vis20vogel21hond22luis23boom24zaad25blad26wortel27schors28huid29vlees30bloed31bot32vet33ei34hoorn35staart36veer37haar38hoofd39oor40oog41neus42mond43tand44tong45klauw46voet47knie48hand49buik50hals51breats52hart53lever54drank55eten56bijten57zaad58hart59weten60slaap61sterven62doden63zwemmen64vliegen65wandelen66komen67leugen68zitten69staan70geven71zeggen72zon73maan74ster75water76regen77steen78zand79aarde80wolk81rook82brand83as84brandwond85pad86berg87rood88groen89geel90wit91zwart92nacht93heet94koude95vol96nieuw97goed98rondje99schoonmaak100naam,Western Europe,Germanic,1
Latin,1ego2vos3nos4haec5quod6qui7quod8non9omnes10multis11unum12duo13magna14multum15parum16mulier17multis18hominem19piscis20avem21canis22pediculus23ligno24semen25leaf26radix27bark28corium29carnem30sanguinem31ossis32deturpant33ovum34cornu35caudaest36pinna37pilorum38caput39audite40oculus41nares42ostium43dente44lingua45ungula46pedibus47genus48manibus49pectus50collum51breats52cor53iecur54potum55manducare56mordetis57semen58cor59scitis60somnum61die62occidere63natare64fugite65ambulemus66venit67mendacium68sit69stare70dare71dicere72solis73luna74stella75aqua76tempusvernum77lapidem78harenam79terra80nubes81fumi82ignis83cinis84adolebitque85semita86montem87red88viride89flavum90alba91nigrum92noctis93hot94frigidum95plenus96new97bonum98circum99dictum100nomine,Western Europe,Romance,1
Checo,1já2vy3my4toto5že6kdo7co8ne9vše10mnoho11jeden12dva13velký14dlouho15malý16žena17mnoho18?lov?k19ryby20pták21pes22veš23strom24semeno25k?ídlo26ko?en27k?ra28k?že29t?lo30krev31kost32tuk33vají?ko34roh35ocas36pe?í37vlasy38hlava39ucho40o?ní41nos42ústa43zub44jazyk45dráp46noha47koleno48ru?ní49b?icho50krk51breats52srde?ní53játra54pít55jíst56skus57semeno58srde?ní59v?d?t60spánek61zem?ít62zabít63plavat64létat65chodit66p?ijít67lež68sed?t69stojan70dát71?íci72slunce73m?síc74hv?zda75voda76déš?77kámen78písek79zem?80mrak81kou?82požární83popel84ho?et85cesta86horský87?ervená88zelená89žlutý90bílá91?erná92noc93horko94nachlazení95pln?96nový97dobrý98kolo99?išt?ní100název,Eastern Europe,Slavic,1
Gallego,1eu2vostede3nós4esta5que6quen7oque8non9todo10moitos11un12dous13gran14longo15pequeno16muller17moitos18persoa19peixe20paxaro21can22piollo23árbore24semente25folla26raíz27casca28pel29carne30sangue31óso32graxa33ovo34corno35cola36pena37pelo38cabeza39orella40ollo41nariz42boca43dente44lingua45garra46pé47xeonllo48man49barriga50pescozo51breats52corazón53fígado54bebida55comer56morder57semente58corazón59saber60sono61morrer62matar63natación64voar65andar66vir67mentira68sentir69soporte70dar71dicir72sol73lúa74estrela75auga76choiva77pedra78area79terra80nube81fume82lume83gris84queimar85camiño86montaña87vermello88verde89amarelo90branco91negro92noite93quente94frío95completo96novo97bo98redondo99limpeza100nome,Western Europe,Romance,1
Finlandés,1minä2te3me4tämä5että6joka7mitä8ei9kaikki10monet11yksi12kaksi13iso14pitkä15pieni16nainen17monet18henkilö19kala20lintu21koira22täi23puu24siemen25lehtiä26juuri27kaarna28iho29liha30veri31luu32rasva33muna34sarvi35pyrstö36sulka37hiukset38pää39korva40silmä41nenä42suu43hammas44kieli45kynsiä46jalka47polvi48käsi49vatsa50niska51breats52sydän53maksa54juoma55syödä56purra57siemen58sydän59tietää60uni61kuolla62tappaa63uida64lentää65kävellä66tulla67valhe68istua69seistä70antaa71sanoa72aurinko73kuu74tähti75vesi76sade77kivi78hiekka79maa80pilvi81savu82tulipalo83tuhka84polttaa85polku86vuori87punainen88vihreä89keltainen90valkoinen91musta92yö93kuuma94kylmä95täysi96uusi97hyvä98kierros99puhdistus100nimi,Eastern Europe,Uralic,1
Húngaro,1én2ön3mi4ezt5hogy6aki7milyen8nem9minden10sok11egy12két13nagy14hosszú15kis16n?17sok18személy19hal20madár21kutya22tet?23fa24mag25levélnövényen26gyökér27fakéreg28b?r29hús30vér31csont32zsír33tojás34kürt35farok36madártoll37haj38fej39fül40szem41orr42száj43fog44nyelv45karom46láb47térd48kéz49has50nyak51breats52szív53máj54ital55eszik56harapás57mag58szív59ismer60alvás61meghal62megöl63úszik64repül65séta66jön67hazugság68ül69állvány70ad71mond72nap73hold74csillag75víz76es?77k?78homok79föld80felh?81füst82t?z83hamu84éget85ösvény86hegy87piros88zöld89sárga90fehér91fekete92éjszaka93forró94hideg95teljes96új97jó98kerek99takarítás100név,Eastern Europe,Uralic,1
Estonio,1mina2sa3me4see5et6kes7mida8ei9kõik10palju11üks12kaks13suur14pikk15väike16naine17palju18inimene19kala20lind21koer22täi23puu24seeme25leht26juur27koor28nahk29liha30veri31luu32määre33muna34sarv35saba36sulg37juuksed38pea39kõrv40silm41nina42suu43hammas44keel45küünis46jalg47põlv48käsi49kõht50kael51breats52süda53maks54jook55sööma56hammustama57seeme58süda59teadma60uni61surema62tapma63ujuma64lendama65kõndima66tulema67vale68istuma69seisma70andma71ütlema72päike73kuu74täht75vesi76vihm77kivi78liiv79maa80pilv81suits82tulekahju83saar84põlema85tee86mägi87punane88roheline89kollane90valge91must92öö93kuum94külm95täis96uus97hea98ümber99puhastamine100nimi,Eastern Europe,Uralic,1
Galés,1yrwyfyn2chi3rydymyn4hwn5bod6pwy7beth8ni9bob10llawer11un12dau13mawr14hir15bach16fenyw17llawer18person19pysgod20aderyn21ci22lleuen23coeden24hadau25ddeilen26gwraidd27rhisgl28croen29cnawd30gwaed31asgwrn32saim33wy34corn35cynffon36bluen37gwallt38pen39clust40llygad41trwyn42geg43dant44tafod45grafanc46droed47pen-glin48llaw49bol50gwddf51breats52galon53afu54diod55bwyta56brathu57hadau58galon59gwybod60cysgu61ynmarw62lladd63nofio64hedfan65cerdded66dod67gorwedd68eistedd69sefyll70rhoi71dweud72haul73lleuad74seren75d?r76glaw77carreg78tywod79ddaear80cloud81mwg82tân83lludw84llosgi85llwybr86mynydd87coch88gwyrdd89melyn90gwyn91du92nos93poeth94oer95llawn96newydd97da98rownd99glanhau100enw,Western Europe,Celtic,1
Afrikaans,1ek2jy3ons4hierdie5wat6wat7wat8nie9al10baie11een12twee13groot14lank15klein16vrou17baie18persoon19vis20voël21hond22luis23boom24saad25blaar26wortel27bas28vel29vlees30bloed31been32vet33eier34horing35stert36veer37hare38kop39oor40oog41neus42mond43tand44tong45klou46voet47knie48hand49maag50nek51breats52hart53lewer54drink55eet56byt57saad58hart59weet60slaap61sterf62doodtemaak63swem64vlieg65loop66kom67leuen68sit69staan70gee71sê72son73maan74ster75water76reën77klip78sand79aarde80wolk81rook82vuur83as84brand85pad86berg87rooi88groen89geel90wit91swart92nag93warm94koue95volle96nuwe97goeie98ronde99skoonmaak100naam,Western Europe,Germanic,1
Rumano,1eu2tu3noi4aceasta5c?6care7ce8nu9toate10multe11unul12dou?13mare14lung15mic16femeie17multe18persoan?19pe?te20pas?re21câine22p?duche23copac24s?mân??25frunze26r?d?cin?27scoar??28piele29carne30sânge31os32unsoare33ou34corn35coad?36pan?37p?r38cap39ureche40ochi41nas42gur?43dinte44limb?45ghear?46picior47genunchi48mân?49burt?50gât51breats52inim?53ficat54b?utur?55mânca56mu?ca57s?mân??58inim?59?ti60somn61muri62ucide63înot64zbura65merspejos66veni67minciun?68sta69stand70da71spune72soare73lun?74stea75ap?76ploaie77piatr?78nisip79p?mânt80nor81fum82foc83cenu??84arde85cale86munte87ro?u88verde89galben90alb91negru92noapte93fierbinte94rece95complet96nou97bun98rotund99cur??enie100nume,Eastern Europe,Romance,1
Vasco,1i2duzu3dugu4hau5hori6duten7zer8ez9guztiak10asko11bat12bi13big14luze15txiki16emakumea17asko18pertsona19arrain20txori21txakur22zorri23zuhaitz24hazia25hosto26erro27azala28azala29haraguiric30odol31hezur32koipea33arrautza34horn35buztan36luma37ilea38burua39belarria40begi41sudurra42ahoa43hortza44hizkuntza45atzapar46oinez47belauna48eskua49sabela50lepoa51breats52bihotza53gibela54edaria55jan56hozka57hazia58bihotza59jakin60lo61hiltzen62hiltzeko63igeri64hegan65oinez66etorriko67gezur68eseri69nabarmentzen70eman71esan72eguzkia73ilargia74star75ura76euri77harri78harea79lurra80hodei81ke82fire83errauts84erre85bidea86mendia87gorria88berdea89horia90zuri91beltza92gau93beroa94hotza95osoa96berria97ona98txandan99garbiketa100izen,Western Europe,Aislado,1
Islandés,1ég2þú3við4þetta5að6sem7hvað8ekki9allt10margir11einn12tveir13stór14langur15lítill16kona17margir18maður19fiskur20fugl21hundur22lús23tré24fræ25blaða26rót27gelta28húð29hold30blóð31bein32feiti33egg34horn35hala36fjöður37hár38höfuð39eyra40auga41nef42munni43tönn44tungu45kló46fótur47hné48hönd49maga50háls51breats52hjarta53lifur54drekka55borða56bíta57fræ58hjarta59veit60svefn61die62drepa63synda64fljúga65ganga66koma67lygi68sitja69standa70gefa71segja72sól73tunglið74stjörnu75vatn76rigning77steinn78sandur79jörðin80ský81reykja82eldur83aska84brenna85slóð86fjallið87rauður88grænt89gulur90hvítur91svart92nótt93heitt94kalt95fullur96ný97gott98umferð99þrif100nafn,Western Europe,Germanic,1
Croata,1ja2ti3mi4ovo5koji6koji7što8nije9sve10mnogo11jedan12dva13velika14dugo15mali16žena17mnogo18osoba19riba20ptica21pas22uš23drvo24sjeme25list26korijen27kora28koža29tijelo30krv31kost32mast33jaje34rog35rep36pero37kosa38glava39uho40oko41nos42usta43zub44jezik45kandža46noga47koljeno48ruka49trbuh50vrat51breats52srce53jetra54pi?e55jesti56gristi57sjeme58srce59znam60san61umrijeti62ubiti63plivati64letjeti65hodati66do?i67laž68sjesti69stajati70dati71re?i72sunce73mjesec74zvijezda75voda76kiša77kamen78pijesak79zemlja80oblak81dim82vatra83pepeo84gorjeti85put86planina87crvena88zelena89žuti90bijela91crna92no?93vru?e94hladno95puni96novi97dobro98oko99?iš?enje100ime,Eastern Europe,Slavic,1
Danés,1jeg2du3vi4dette5at6der7hvad8ikke9alle10mange11en12to13stor14lang15lille16kvinde17mange18person19fisk20fugl21hund22lus23træ24frø25blad26rod27bark28hud29kød30blod31knogle32fedt33æg34horn35hale36fjer37hår38hoved39øre40øje41næse42mund43tand44tunge45klo46fod47knæ48hånd49mave50hals51breats52hjerte53lever54drikke55spise56bide57frø58hjerte59kender60søvn61dø62dræbe63svømme64flyve65gå66komme67løgn68sidde69stå70give71sige72sol73månen74stjerne75vand76regn77sten78sand79jord80sky81røg82brand83aske84brænde85sti86bjerg87rød88grøn89gul90hvid91sort92nat93varm94kold95fuld96ny97god98omgang99rengøring100navn,Western Europe,Germanic,1
Eslovaco,1ja2vy3my4toto5že6kto7?o8nie9všetko10ve?a11jeden12dva13ve?ký14dlho15malý16žena17ve?a18?lovek19ryby20vták21pes22voš23strom24semeno25krídlo26kore?27kôra28koža29telo30krv31kos?32tuk33vají?ko34roh35chvost36perie37vlasy38hlava39ucho40o?né41nos42ústa43zub44jazyk45pazúr46noha47koleno48ru?né49brucho50krk51breats52srdcové53pe?e?54pi?55jes?56skus57semeno58srdcové59vedie?60spánok61zomrie?62zabi?63pláva?64lieta?65chodi?66prís?67lož68sedie?69stojan70da?71poveda?72slnka73mesiac74hviezda75voda76dáž?77kame?78piesok79krajina80mrak81dym82požiarne83popol84horie?85cesta86horský87?ervená88zelená89žltý90biela91?ierna92noc93horúco94prechladnutie95plne96nový97dobrý98kolo99?istenie100názov,Eastern Europe,Slavic,1
Sueco,1jag2du3vi4detta5att6som7vad8inte9allt10många11en12två13stor14lång15liten16kvinna17många18person19fisk20fågel21hund22lus23träd24frö25blad26rot27bark28hud29kött30blod31ben32fett33ägg34horn35svans36fjäder37hår38huvud39örat40öga41näsa42mun43tand44tunga45klo46fot47knä48handen49mage50hals51breats52hjärta53lever54dricka55äta56bita57frö58hjärta59vet60sömn61dö62döda63dopp64flyga65gå66komma67lie68sitta69stå70ge71säga72sol73moon74stjärna75vatten76regn77sten78sand79jord80cloud81rök82brasa83aska84brännskada85bana86berg87röd88grön89gul90vit91svart92natt93het94förkylning95full96ny97bra98runda99rengöring100namn,Western Europe,Germanic,1
Armenio,1yes2duk’3menk’4ays5vor6ov7inch’8voch’9bolory10shat11mek12yerku13mets14yerkar15p’vok’r16kin17shat18mard19dzuk20t’rrch’un21shun22vojil23tsarr24serm25p’yeghk26armat27hach’yel28mashk29marmin30aryun31voskor32k’suk’33dzu34beghikner35poch’36p’yetur37maz38ghekavar39akanj40ach’k’41k’it’42beran43atam44lezu45patrrel46votk’47tsunk48dzerrk’49stamok’s50paranots’51breats52sirt53lyard54khmel55utel56utel57serm58sirt59imanal60k’un61merrnel62spanel63loghaly64t’rrch’yel65k’aylel66gal67sut68nstel69kangnel70tal71asel72arev73lusin74astgh75jur76andzrev77k’ar78avaz79yerkir80amp81tsukh82krak83mokhir84ayrvel85chanaparh86lerrnayin87karmir88kanach’89deghinguyn90chermak91sev92gisher93tak’94ts’urt95li96nor97lav98klor99ch’vor100anun,Eastern Europe,Armenian,1
Griego,1egó2eseís3emeís4aftó5óti6oopoíos7ti8den9óla10pollá11énas12dýo13megálo14makrýs15mikró16gynaíka17pollá18prósopo19psári20poulí21skýlos22pseíra23déntro24spóros25fýllo26ríza27floiós28dérma29sárka30aíma31ostó32gráso33avgó34kérato35ourá36fteró37malliá38kefáli39aftí40máti41mýti42stóma43dónti44glóssa45dankána46pódi47gónato48chéri49koiliá50laimós51breats52kardiá53sykóti54potó55tróo56dánkoma57spóros58kardiá59xéro60ýpnos61kaloúpi62skotóno63záli64petó65perpatíste66éla67pséma68kathízo69stási70díno71léne72ílios73fengári74astéri75neró76vrochí77pétra78ámmos79gi80sýnnefo81kapnós82fotiá83flamouriá84énkavma85monopáti86vounó87tokókkino88prásinos89kítrinos90áspro91mávros92nýchta93zestó94krýo95gemátos96néos97kalós98gýros99xirós100ónoma,Eastern Europe,Hellenic,1
Hindi,1main2aap3ham4is5us6kaun7kya8nahin9sab10anek11ek12do13bade14lamba15chhota16mahila17anek18vyakti19machhalee20chidiya21kutta22joon23ped24beej25pattee26jad27chhaal28tvacha29maans30rakt31haddee32greez33anda34seeng35poonchh36pankh37kesh38sir39kaan40aankh41naak42munh43daant44jubaan45panja46pair47ghutana48haath49pet50garadan51braiats52dil53jigar54pey55khaanakhalo56kaatana57beej58dil59jaanana60neend61marana62hatya63tairana64udana65tahallo66aaie67jhooth68baithiye69khada70dena71kahana72ravi73chaand74taara75paanee76baarish77patthar78ret79prthvee80baadal81dhuaan82aag83esh84jalaana85path86parvat87laal88hara89peela90saphed91kaalee92raat93garam94sardee95poorn96naya97achchha98gol99sookha100naam,India,Indo-Aryan,1
Punjabi,1mai?2tus??3as??4iha5haij?ki6kau?a7k?8nah??9sabha10bahutas?r?11ika12d?13va??14lab?15ch???16aurata17bahutas?r?18vi'akat?19mach?20pach?21kut?22j?'?23rukha24b?ja25pat?26r??a27saka28cama??29m?sa30kh?na31ha??32gar?sa33a??34siga35p?cha36khabha37v?la38sira39kana40akha41naka42m?ha43dada44j?bha45nak???46paira47g???48hatha49?hi?a50garadana51s?ha52dila53jigara54p???55kh???kh?'?56dad?57b?ja58dila59j???60sal?pa61mara62m?r?63tair?k?64u??65cal?66?'u??67jh??ha68bai?h?69kha?h?70d??a71kah?72s?raja73cada74t?r?75p???76b?ri?a77pathara78r?ta79dharat?80badala81dh?'??82aga83su'?ha84s??a85m?raga86pah??a87l?la88har?89p?l?90ci??91k?l?92r?ta93garama94?ha??95p?r?96nav??97cag?98g?la99suk?100n?ma,India,Indo-Aryan,1
Luxemburguish,1ech2dir3mir4dëser5dass6déi7waat8net9all10vill11eent12zwee13grouss14laang15kleng16fra17vill18persoun19fësch20vugel21hond22louse23bam24som25leaf26root27blat28haut29fleesch30blutt31réckemuerch32ueleg33ee34horn35schwäif36fieder37hoer38kapp39ouer40aen41nues42mond43zännofdréck44zong45aarbescht46fouss47knéi48dem49bauch50hals51breats52häerz53liewer54drénken55iessen56dégustatioun57som58häerz59wëssen60schlof61stierwen62ëmbréngen63schwammen64fléien65spadséiergank66kommen67leien68sëtzt69stand70ginn71soen72sonn73mound74stär75waasser76reen77stee78sand79äerd80wollek81damp82feier83äschen84verbrennt85wee86bierg87rout88gréng89giel90wäiss91schwaarz92nuecht93waarm94keelt95voll96nei97gutt98ronn99dréchnen100numm,Western Europe,Germanic,1
